ticker,date,shares_outstanding,float_shares,iwf
AFL,2023-05-04,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-05,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-08,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-09,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-11,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-12,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-15,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-16,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-18,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-19,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-22,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-23,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-25,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-26,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-30,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-31,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-01,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-02,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-05,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-07,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-08,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-09,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-12,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-15,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-16,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-22,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-23,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-26,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-29,540644992.0,535871132.0,0.9911700652542066
AFL,2023-06-30,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-03,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-05,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-07,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-11,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-12,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-18,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-19,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-25,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-26,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-07-31,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-01,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-02,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-03,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-04,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-07,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-08,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-09,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-11,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-15,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-16,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-18,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-22,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-23,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-25,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-29,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-30,540644992.0,535871132.0,0.9911700652542066
AFL,2023-08-31,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-01,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-05,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-07,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-08,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-11,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-12,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-15,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-18,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-19,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-22,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-25,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-26,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-09-29,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-02,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-03,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-04,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-05,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-09,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-11,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-12,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-16,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-18,540644992.0,535871132.0,0.9911700652542066
